GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS410697212	2016-06-13 20:33:17	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				1					United States	US	Georgia	US-GA	Appling	US-GA-001		27			Moody Forest Natural Area	L4681090	P	31.9185831	-82.3016739	2016-06-08	08:30:00	obsr282226	S30139125	Traveling	P22	EBIRD	480	9.656		1	1		0	1	0		Casual observations while working. Drove down to where Moody meets the Altamaha and spent a few minutes by the river. <br />Submitted from eBird for iOS, version 1.1.5 Build 44		
URN:CornellLabOfOrnithology:EBIRD:OBS937979031	2020-06-05 21:03:31	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				1					United States	US	Georgia	US-GA	Appling	US-GA-001		27			Moody Forest Natural Area--Tavias Trail	L2109050	H	31.9092210	-82.3123169	2020-06-05	08:07:00	obsr412010	S70080471	Traveling	P22	EBIRD	225	9.028		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS936934856	2021-04-15 20:48:07.322539	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				1	S 	C2	S 		United States	US	Georgia	US-GA	Bacon	US-GA-005		27			Flounder Rd	L11613294	P	31.7024760	-82.5125770	2020-06-03	09:44:00	obsr158314	S70005205	Traveling	P22	EBIRD	25	2.320		1	1		0	1	0			heard only	
URN:CornellLabOfOrnithology:EBIRD:OBS327143938	2021-04-01 04:40:53.978211	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				1					United States	US	Georgia	US-GA	Baker	US-GA-007		27			Diaz Road	L1803198	P	31.3684913	-84.4000440	2015-06-06	08:30:00	obsr223869	S23926146	Traveling	P22	EBIRD	240	32.187		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS779688454	2021-03-24 09:27:38.145173	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				1					United States	US	Georgia	US-GA	Baker	US-GA-007		27			Newton BBS Route Stops 1-5	L9467286	P	31.2906340	-84.4060663	2019-06-26	06:03:00	obsr159894	S57747138	Traveling	P22	EBIRD	22	4.023		2	1	G4319120	0	1	0		While conducting the Newton BBS route.  Includes some observations not on the official count.		
URN:CornellLabOfOrnithology:EBIRD:OBS779688508	2021-03-24 09:27:38.145173	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				1					United States	US	Georgia	US-GA	Baker	US-GA-007		27			Newton BBS Route Stops 1-5	L9467286	P	31.2906340	-84.4060663	2019-06-26	06:03:00	obsr189437	S57747144	Traveling	P22	EBIRD	22	4.023		2	1	G4319120	0	1	0		While conducting the Newton BBS route.  Includes some observations not on the official count.		
URN:CornellLabOfOrnithology:EBIRD:OBS1458982299	2022-06-13 23:07:48.732178	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				X					United States	US	Georgia	US-GA	Baker	US-GA-007		27			4306 Whitehead Rd, Colquitt US-GA 31.19279, -84.44441	L19632568	P	31.1927870	-84.4444050	2022-06-13	20:12:00	obsr1331994	S112902042	Stationary	P21	EBIRD	20			1	1		0	1	0			Identified by Merlin sound ID	
URN:CornellLabOfOrnithology:EBIRD:OBS261082602	2019-03-20 22:15:03	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				1					United States	US	Georgia	US-GA	Baldwin	US-GA-009		27			Oconee River Greenway, Milledgeville	L775529	H	33.0817614	-83.2152557	2014-06-24	06:50:00	obsr226527	S18893281	Traveling	P22	EBIRD	55	2.414		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS258854882	2019-03-20 22:15:03	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				1					United States	US	Georgia	US-GA	Baldwin	US-GA-009		27			Oconee River Greenway, Milledgeville	L775529	H	33.0817614	-83.2152557	2014-06-08	09:45:00	obsr226527	S18727859	Traveling	P22	EBIRD	110	6.437		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS259527041	2021-04-01 04:57:48.496435	27753	species	avibase-8E1D9327	Wood Thrush	Hylocichla mustelina				1					United States	US	Georgia	US-GA	Baldwin	US-GA-009		27			Oconee River Greenway, Milledgeville	L775529	H	33.0817614	-83.2152557	2014-06-13	08:00:00	obsr226527	S18775239	Traveling	P22	EBIRD	60	4.023		1	1		0	1	0				
